Company Page Link,Company Name,Company title,Company description,Company Website,Company locations,Company size,Markets,Scrapping_date,Available jobs,Founders,Team,Total Funding(amount in $),Rounds,Investors,Culture Overview,Perks and benefits
https://wellfound.com/company/eastbanc-technologies,EastBanc Technologies,,"EastBanc Technologies is a full-lifecycle software product development firm and start-up incubator located in Georgetown, Washington, DC. We help customers jumpstart their digital transformation journey by leveraging cutting-edge technologies and approaches – focusing on complex cloud architecture, Artificial Intelligence and Data Science, API infrastructure, and all other components required to enable our clients’ digital evolution. Our customers have included The Washington Post, Kroger, Intelsat, Nasdaq, the American Red Cross, IBM, and other finance, science, education, consumer product, and mobility institutions.  ",eastbanctech.com,Washington DC,51-200 people,"Software,Software",09-08-2024,"Sr. Python Developer    (Posted  3 years ago),Architect    (Posted  3 years ago)",,"Anastasiya Subbotina,Elizabeth Yu,Liliya Kladova,Catherine Paganini,Sergey Dementyev,Dzoan Ho,Oleg Chunikhin,Dmitry Lisovsky,Slava Koltovich,Umidgon Yakhoev,Alexey Bromot,Artem Goncharuk,Sofya Savkina,Oleg Godovykh,Gordey Doronin,ILYA ANISIMOV",,,"Anastasiya Subbotina,Elizabeth Yu,Liliya Kladova",,
https://wellfound.com/company/nammu21,Nammu21,Fintech,"A digitization and analytics platform deconstructing complex interconnected documents across the finance ecosystem delivering operational efficiencies, generating new value, and connecting the business of today to the digital world of tomorrow.The Nammu Platform transforms the transaction experience, the transaction process and unlocks and exposes previously hidden, inaccessible data.",www.nammu21.com/,New York City,11-50 people,"Legal Tech,Fin Tech,Legal Tech,Fin Tech",09-08-2024,"Senior Platform Engineer    (Posted  2 months ago),Senior Back-End Python Developer    (Posted  1 month ago)",Someera F Khokhar,"Matthew Petersen,Charles Nguyen,Delyn Ramey,richard bateman,Daniel Chen,Darcy Binder,Joyce Varughese,Recruiting Manager",$15.8M,2 rounds,,,"Healthcare benefits,Parental leave,Equity benefits,Commuter benefits,Professional development"
https://wellfound.com/company/compunnel,Compunnel,,,www.compunnel.com,New Jersey,5000+ people,"IT Management,IT Management",09-08-2024,"Service Desk L1 Engineer    (Posted  7 months ago),Python Developer    (Posted  8 months ago)",,"Ashish Nain,Nigel Gerard Alvares,Naveen Benakankonda,Ishan Gupta,Vaibhav Shankdhar,nimesh mehta,Irfan Khan,Shri Akhil Chellapilla,Marshay Jackson,Kumar Parth,Shubhankar Rahul",,,"Ashish Nain,Nigel Gerard Alvares,Naveen Benakankonda",,
https://wellfound.com/company/mathpix-1,Mathpix,Bridging the analog and digital world through OCR,"Mathpix is building the most sophisticated software for extracting structured data from images and PDFs, bundled into a productivity tool for creating and managing research documents. We are profitable, funded, growing, and having lots of fun building things that have never been built before.",mathpix.com/,"New York,Brooklyn",11-50 people,"SaaS,Computer Vision,SaaS,Computer Vision",09-08-2024,"Senior Python Developer, AI startup    (Posted  1 month ago),Senior Backend Developer    (Posted  3 months ago)","Kaitlin Cunningham,Nicolas Jimenez",,,,,,
https://wellfound.com/company/zydelo-1,Zydelo,"We specialize in mobile app development, e-commerce and web design resulting",,zydelo.com/,United States,11-50 people,"Software,Software",09-08-2024,Sr. Python Developer    (Posted  3 years ago),Aastha Sharma,,,,,,
https://wellfound.com/company/trendalytics,Trendalytics,"Buy Better, Faster","Trendalytics is a product intelligence platform that surfaces what consumers want today and tomorrow. Trendalytics draws actionable insights from the cross section of influencers, products and brands. Unlike other solutions, Trendalytics aggregates retail industry data and analyzes patterns across influencer social buzz, online searches and SKU data. Dynamic insights are gathered at the product category, classification and SKU level to support decisions on assortment planning, product pricing and tracking promotional activity and marketing based on consumer shopping patterns. Our clients include leading department stores, mass retailers, luxury brands, and rapidly growing e-commerce sites. ",trendalytics.co,New York City,11-50 people,"Machine Learning,Artificial Intelligence,Retail Technology,Big Data Analytics,Machine Learning,Artificial Intelligence,Retail Technology,Big Data Analytics",09-08-2024,Tech Lead/ Sr. Python Developer    (Posted  3 years ago),Jian (Kevin) He,"Jennifer Chang,Madeline Steiner,Sarah Barnes,Michael Savushkin,Cecile Lee,Sheng-Yan, Z,Springboard Enterprises,Liz Bacelar,Alexandra Wilkis Wilson,ShengXing Chi,Nicole Choi,Amanda Lewis,kathy leake,Serge Mosin,Janette Lu",,12 investors,"Otimo Retail,Lauren Flanagan,Matthew Stotland,Anna Garcia,steven alan,Montage Ventures,Grace Beauty Capital,William McClelland,Frank A. Fazzinga III",,
https://wellfound.com/company/nueve-solutions,Nueve Solutions,"We develop integrations, custom banking applications for financial institutions","As a Q2 certified partner located in Austin, TX our expertise lies in creating digital solutions for today’s banking applications. We are committed to providing development services that will elevate your customer’s online experience and simplify your backend systems.Nueve Solutions has helped to transform the digital architecture of reputed financial institutions, with robust and dynamic enterprise-level web-based applications, web-ready mobile platforms and consumer as well as corporate portals that are future-proofed for operational efficiency. Leveraging our tailored software development and consulting services will lead to successful projects and seamless functionality at economical rates. Always seeking to exceed customer expectations, we make sure to take clients’ valuable inputs during the development process, bring together the right team, and then deliver cutting-edge solutions.Our wealth of knowledge and familiarity with the banking sector allows us to provide exceptional quality services that have lasting impact:Banking IT SolutionsUsing skilled resources and cost-effective processes, Nueve Solutions helps clients upgrade their banking portals’ IT capabilities via an integrated approach that results in much-needed flexibility.Q2 Platform integrationTo bring out a compelling user experience and improve business performance, our outstanding team develops strategies for seamless Q2 platform integration with regard to digital banking platforms used by banks and credit unions.",nuevesolutions.com/,Austin,11-50 people,"Finance Technology,Fin Tech,Finance Technology,Fin Tech",09-08-2024,"React, Python Developer from Austin, TX    (Posted  3 years ago)",Ravi Ram Kallepalli,"Manikanta Pedireddy,Surya Venkat,Bala Venkata Krishna Poripireddy,ManiKumar Navara",,,,"Based in Austin, Texas, Nueve Solutions stands apart from market offerings with its deep expertise and unparalleled integrated solutions that focus on bringing banking application platforms to the next level. Our dedicated team of skilled professionals strives to ensure that customers receive the best quality service, irrespective of where they are located or the size of their operations. Given our geographical scope and extensive network, we collaborate closely with leading financial institutions, banks and credit unions, offering innovative high-end technology for scaling up web design and enhancing digital platforms. Our sole aim at Nueve Solutions is to create modern long-term solutions that are cost-effective and provide greater audience engagement for the financial services sector. Whether you are looking to upgrade your digital system to new software, implement best practices or expand your web presence, let our highly capable staff step in and enhance the reach of your content instantly with a customized approach. Nueve Solutions believes in putting our customers first, and with our extensive experience in implementing financial software solutions, no dream is too far to achieve. Don’t wait any longer, and get in touch with us today!",
https://wellfound.com/company/mugco,MUGCO,Team Development Company,"MugCo is supporting tech companies with consulting services, progressive software development, and expand engineering capacity on-demand. We deliver solutions to many companies with our experts and assist technology innovators in building thriving software products in different domains.",mugco.io,Foster City,11-50 people,"Enterprise Software,Enterprise Software",09-08-2024,"Senior Front-end developer    (Posted  2 years ago),Senior Full-stack Python Developer    (Posted  2 years ago)",,Natalia Dmytryshyn,,,,,
https://wellfound.com/company/siblings-software,Siblings Software,Software outsourcing company focused on high quality custom software development services,"As a full-stack developer, we offer a wide variety of software outsourcing solutions to meet the needs of our customers, quickly and efficiently.",siblingssoftware.com/,Miami,11-50 people,"Enterprise Software,Web Design,Outsourcing,Apps,Software,Web Development,Software Engineering,Mobile Application,Business Process Outsourcing,Enterprise Software,Web Design,Outsourcing,Apps,Software,Web Development,Software Engineering,Mobile Application,Business Process Outsourcing",09-08-2024,"Delphi Developer    (Posted  2 years ago),Senior Python Developer    (Posted  2 years ago),Python Developer    (Posted  2 years ago),JS Developer    (Posted  2 years ago),DevOps Engineer    (Posted  2 years ago),Full Stack Gatsby Developer with SEO skills    (Posted  3 years ago)",Javier Uanini,,,,,,
https://wellfound.com/company/appzen,AppZen,The ai platform for modern finance teams,"AppZen delivers the world’s leading AI platform for modern finance teams. Starting with business spend, we automate manual process, uncover problems, and optimize decision making for enterprises around the globe, including one-fourth of the Fortune 500. Our platform combines patented deep learning, computer vision, and semantic analysis with intelligence from thousands of online data sources to understand financial transactions in business context and make decisions before those transactions happen. AppZen is a must-have for CFOs and their teams to reduce spend, comply with policy, and streamline process.",www.appzen.com/,"Silicon Valley,San Jose,Tempe",51-200 people,"SaaS,Enterprise Software,Big Data,Artificial Intelligence,Accounting,Finance Technology,Fin Tech,SaaS,Enterprise Software,Big Data,Artificial Intelligence,Accounting,Finance Technology,Fin Tech",09-08-2024,"Senior Python Developer - Customer Engineering    (Posted  1 week ago),Channel Account Executive    (Posted  1 week ago),Finance Associate    (Posted  2 weeks ago),Golang Developer    (Posted  2 weeks ago),Analyst Deal Desk    (Posted  3 weeks ago),Sr. Manager/ Associate Director - Global Support    (Posted  3 weeks ago),Enterprise Customer Success Manager - EMEA    (Posted  3 weeks ago),Director/Senior Director of FP&A    (Posted  3 weeks ago),Senior Product Manager, SAP and Integrations    (Posted  4 weeks ago),Implementation Success Manager    (Posted  4 weeks ago),Technical Writer    (Posted  1 month ago),Director, Training & Enablement    (Posted  1 month ago),Senior AI Engineer    (Posted  1 month ago),L2 Technical Consultant    (Posted  1 month ago),Senior Manager - Global Support    (Posted  2 months ago),Backend Engineer    (Posted  2 months ago)",,"Rajeev Gubbala,Anant Kale,Kunal Verma,Thanida Claydon,Joshua Anish,Tiana Moezidis,Ryan Birdsall,Chris Wendling,Aubrey Condor,Stephanie Sayer Long,Paul Arys,James Qian,Giovanni LoCicero,May Lam,Mehak Kochhar,Mike Malone,Cauvery Kalaiah,TJ Lepore,Sanjay Sathe,Chris Bollerud, MBA,Ryan Cooling,Shantanu Joshi,Vu Thinh LY,Michelle Fox Wiles,Jonathan Chizick",$102.5M,5 rounds,"Philippe Suchet,Alberto Lopez Toledo,Leo Polovets,Bloomberg Beta,Coatue Management,Lightspeed Venture Partners,Dave McClure,Redpoint Ventures,Resolute Ventures",,
https://wellfound.com/company/stentortech,GVOS ,An Edge Cloud for Autonomous Driving,"We are a passionate team crazy about autonomous vehicles. We are building an edge cloud for the autonomous driving that empowers businesses and individuals to store, share, and distribute their data assets. We are backed by the prestigious Berkeley Blockchain Xcelerator and looking for self-motivated, enthusiastic people who are passionate about autonomous vehicles, proud of their work, and desire to help create a world with less accidents and better driving experience using world-class edge computing and decentralized ledger technologies. You will have the opportunities to work with world class PhDs, engineers, professors, and industry gurus to change the future of transportation.",gvos.io,San Francisco,1-10 people,"Enterprise Software,Enterprise Software",09-08-2024,Python Developer    (Posted  6 months ago),Frank Wang,"Kevin Zhang Lee,Kevin Lee",,,,,
