Job title,Company_name,Minimum salary,Maximun salary,Posted date,Location,Job type,Visa sponsorship,Jobcard page link,Jobcard ID,Scrapping date,Search phrase,Skills,Preferred timezones,Job description,Role,Company type,Company logo,Company Page Link,Company Name,Company title,Company description,Company Website,Company locations,Company size,Markets,Scrapping_date,Available jobs,Founders,Team,Total Funding(amount in $),Rounds,Investors,Culture Overview,Perks and benefits
Python Developer (with understanding of AWS),VY Systems,$100k , $120k,1 year ago,Houston,Full Time,Not Available,https://wellfound.com/jobs/2621480-python-developer-with-understanding-of-aws,2621480.0,09-08-2024,['python developer'],"Python,Django,Oracle,AngularJS",,"10 Years + of overall software development experience;Python  Knowledge and experience in Python, Django, Angular JS, Oracle highly desirable.  Knowledge of version and revision control practices and procedures  Working experience with database environment - understanding relational database structure and hands-on SQL knowledge to extract/manipulate data  At least 1+ years of experience in an Investment Bank (or similar) as a Developer  Solid application design, development, and testing work experience  Strong sense of ownership, ability to work independently, and have strong communication skil",Python Developer (with understanding of AWS),,https://photos.wellfound.com/startups/i/9446115-5e5f86db7fe7fc94395f3ef175f2cbb0-medium_jpg.jpg,https://wellfound.com/company/vy-systems,VY Systems,,,vysystems.com/,Santa Clara,201-500 people,"Recruiting,Technology,Recruiting,Technology",09-08-2024,"PowerBI Developer    (Posted  2 months ago),Python Developer (with understanding of AWS)    (Posted  1 year ago)",,"Nagalakshmi Rajasekaran,Ikram Khan,Raj Naraiyan",,,"Nagalakshmi Rajasekaran,Ikram Khan,Raj Naraiyan",,
"React, Python Developer from Austin, TX",Nueve Solutions,$90k , $120k,3 years ago,Austin,Full Time,Not Available,https://wellfound.com/jobs/1336023-react-python-developer-from-austin-tx,1336023.0,09-08-2024,['python developer'],,,"Nueve Solutions is looking for a full stack developer to help build industry-changing FinTech solutions. Founded here in Austin, TX, we are a growing startup helping credit unions and community banks with fintech services and solutions  Experience And Knowledge  3+ years React js and Python application development experience Strong understanding of complex, enterprise architecture Fluidity on the Linux command line and basic system administration Experience working in Git along with typical JavaScript & Python build tools Preferred  Local to Austin and available to meetup when required Previous experience building tools Experience hosting in AWS, or digital ocean  Pay range Your actual pay will be based on your skills and experience  Base Pay Range  $90,000/yr – $120,000/yr  Employment Type: Full-time, Contract to hire","React, Python Developer from Austin, TX",,https://photos.wellfound.com/startups/i/3192918-a6e3db59b2bc05741a375ea7d81e2435-medium_jpg.jpg,https://wellfound.com/company/nueve-solutions,Nueve Solutions,"We develop integrations, custom banking applications for financial institutions","As a Q2 certified partner located in Austin, TX our expertise lies in creating digital solutions for today’s banking applications. We are committed to providing development services that will elevate your customer’s online experience and simplify your backend systems.Nueve Solutions has helped to transform the digital architecture of reputed financial institutions, with robust and dynamic enterprise-level web-based applications, web-ready mobile platforms and consumer as well as corporate portals that are future-proofed for operational efficiency. Leveraging our tailored software development and consulting services will lead to successful projects and seamless functionality at economical rates. Always seeking to exceed customer expectations, we make sure to take clients’ valuable inputs during the development process, bring together the right team, and then deliver cutting-edge solutions.Our wealth of knowledge and familiarity with the banking sector allows us to provide exceptional quality services that have lasting impact:Banking IT SolutionsUsing skilled resources and cost-effective processes, Nueve Solutions helps clients upgrade their banking portals’ IT capabilities via an integrated approach that results in much-needed flexibility.Q2 Platform integrationTo bring out a compelling user experience and improve business performance, our outstanding team develops strategies for seamless Q2 platform integration with regard to digital banking platforms used by banks and credit unions.",nuevesolutions.com/,Austin,11-50 people,"Finance Technology,Fin Tech,Finance Technology,Fin Tech",09-08-2024,"React, Python Developer from Austin, TX    (Posted  3 years ago)",Ravi Ram Kallepalli,"Manikanta Pedireddy,Surya Venkat,Bala Venkata Krishna Poripireddy,ManiKumar Navara",,,,"Based in Austin, Texas, Nueve Solutions stands apart from market offerings with its deep expertise and unparalleled integrated solutions that focus on bringing banking application platforms to the next level. Our dedicated team of skilled professionals strives to ensure that customers receive the best quality service, irrespective of where they are located or the size of their operations. Given our geographical scope and extensive network, we collaborate closely with leading financial institutions, banks and credit unions, offering innovative high-end technology for scaling up web design and enhancing digital platforms. Our sole aim at Nueve Solutions is to create modern long-term solutions that are cost-effective and provide greater audience engagement for the financial services sector. Whether you are looking to upgrade your digital system to new software, implement best practices or expand your web presence, let our highly capable staff step in and enhance the reach of your content instantly with a customized approach. Nueve Solutions believes in putting our customers first, and with our extensive experience in implementing financial software solutions, no dream is too far to achieve. Don’t wait any longer, and get in touch with us today!",
QA Analyst/ QA developer- ID#AX2,Mindera Software,,,2 years ago,"Remote,Orlando",Full Time,Available,https://wellfound.com/jobs/2136057-qa-analyst-qa-developer-id-ax2,2136057.0,09-08-2024,['python developer'],,Everywhere,"Why Join Us?  Here a Mindera we are building a world-class team and would love it for you to join us.  We are looking for both  Manual and/or Automation testers for this project.  This job will be 100% remote due to the current COVID-19 restrictions.  We are not accepting C2C applications at this time.  Requirements   Experience with Manuel or Automation testing   Hands-on experience with Kotlin, Ruby & Python for automated Test  OR Hands-on experience with TestRail & Jira for Manuel testing   Experience with VMWare/ ESXI and Jenkins is preferable    Nice to have:   Experience working in an agile environment    Benefits  We offer   Fantastic working environment built on the principles of lean and self-organization;  Fun, happy and politics-free work culture;  Competitive salaries and benefits;  Potential to international travel;  Working with high profile clients in consultancy environment;  No dress code, corporate speak or middle managers.    Annual Salary 50K to 85K   We accept applications for Direct Hire only; no C2C or agencies, please.  About Mindera  At Mindera we use technology to build products we are proud of, with people we love.  Software Engineering Applications, including Web and Mobile, are at the core of what we do at Mindera.  We partner with our clients to understand their product and deliver high performance, resilient and scalable software systems that create an impact in their users and businesses across the world.  You get to work with a bunch of great people, where the whole team owns the project together.  Our culture reflects our lean and self management attitude. We encourage our colleagues to take risks, make decisions, work in a collaborative way and talk to everyone to enhance communication.  We are proud of our work and we love to learn all and everything while navigating through an Agile, Lean and collaborative environment.  Check out our Blog:  http://mindera.com/  and our Handbook:  http://tinyurl.com/zc599tr  Our offices are located: Aveiro, Portugal | Porto, Portugal | Leicester, UK | San Diego, USA | San Francisco, USA | Chennai, India | Bengaluru, India | Pittsburgh, PA",QA Analyst/ QA developer- ID#AX2,Private Company,https://photos.wellfound.com/startups/i/8599835-4cd46b465f7a412ab7731e8a5918e439-medium_jpg.jpg,https://wellfound.com/company/mindera-software,Mindera Software,"We use technology to build products we are proud of, with people we love","Our customers are global brands that are enabling how the world does business. Our stable of clients includes world-recognized fashion brands, online gaming, identity verification, and so much more.",mindera.com,"Brazil,San Diego,San Francisco",501-1000 people,"Mobile,Healthcare,Retail,Identity Management,Online Gaming,Cyber Security,Global,Blockchain / Cryptocurrency,Mobile,Healthcare,Retail,Identity Management,Online Gaming,Cyber Security,Global,Blockchain / Cryptocurrency",09-08-2024,"Agile Delivery Lead    (Posted  2 years ago),QA Automation Engineer (Javascript) - Mid or Senior    (Posted  2 years ago),DevOps Engineer (Remote)    (Posted  2 years ago),Senior Product Owner (Remote)    (Posted  2 years ago),iOS Developer    (Posted  2 years ago),Backend Developer - Kotlin - Mid or Senior    (Posted  2 years ago),Fullstack Developer - Java + React    (Posted  2 years ago),Experienced Frontend Developer    (Posted  2 years ago),Backend Software Engineer - Java    (Posted  2 years ago),Technical Product Owner    (Posted  2 years ago),Senior UX/UI Designer (6 month contract, outside IR35)    (Posted  2 years ago),Business Analyst    (Posted  2 years ago),Mid Java Engineer - ID#WR1    (Posted  2 years ago),DevOps Engineer - #K4    (Posted  2 years ago),Technology Engagement Manager    (Posted  2 years ago),DevOps Engineer    (Posted  2 years ago),Quality Assurance Analyst    (Posted  2 years ago),Accountant    (Posted  2 years ago),Android Developer    (Posted  2 years ago),QA Analyst/ QA developer- ID#AX2    (Posted  2 years ago)",,"Haley Baldwin,Danni Barker,Ebony Sain",,,"Haley Baldwin,Danni Barker,Ebony Sain","""Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world."" Harriet Tubman  Mindera was born to be in peoples' hearts. We care, we listen, we make stuff happen. If you are used to another way of working, you are in for an interesting ride, take your time to let it all sink in.  We are humans. We act like humans, we talk like humans, and we think like humans. And we call out anyone who does the opposite.  We work together. We insist on working collaboratively. No rockstars. No departments. The whole team owns the whole project, together.  We change. Nothing is sacred. From our habits to our rituals to our environment. Change is a natural part of human life, and we prefer to embrace it.","Us employees - short term disability,Us employees - flexible spending account,Us employees - health savings account,Us employees - onemedical access,Us employees - health advocacy,Us employees - virtual health,Us employees  - 401k,Profit sharing and employee benefit trust,Us employees - flexible work options,Us employees - unlimited pto,Us employees - commuter benefits"
Senior Python Developer - ID#AX,Mindera Software,,,2 years ago,"Remote,Orlando",Full Time,Available,https://wellfound.com/jobs/2136056-senior-python-developer-id-ax,2136056.0,09-08-2024,['python developer'],,Everywhere,"Here at Mindera, we are building a world-class team and would love it for you to join us.  We’re looking for Senior Python Engineers with system-level knowledge required:  Linux packages, ZFS (syscalls), Flask, pytest, Celery, MongoDB, Docker  This job will be 100% remote.  We are not accepting C2C applications at this time.  Requirements  You're Good At   Good English communication.  3+ years experience in Python development experience (specifically with Celery, PyTest and Flask).  Experience working with Python on Linux environments dealing with services, OS/kernel and Linux libraries.  Database experience preferred, specifically MongoDB as well as Redis  Experience with Virtualization, KVM preferred.  Working knowledge or experience with ZFS, understands ZFS functionally and the systems calls.  Experience working with docker and git.   You Rock At   Being self-driven, self-organized and working with little supervision towards a common team and company purpose;  More than one programming language such as Java, Scala, or Javascript;  Building highly concurrent, transactional and resilient services.   Benefits  We Offer   A fantastic working environment built on the principles of lean and self-management.  Fun, happy, and politics-free work culture.  Unlimited PTO  401k employer match  Medical, dental, and vision coverage  Annual Salary 100k to 120K     Check out our Blog:  http://mindera.com/  and our Handbook:  http://bit.ly/MinderaHandbook  Our offices are located: Aveiro, Portugal | Porto, Portugal | Leicester, UK | San Diego, USA | San Francisco, USA | Chennai, India | Bengaluru, India | Pittsburgh, PA",Senior Python Developer - ID#AX,Private Company,https://photos.wellfound.com/startups/i/8599835-4cd46b465f7a412ab7731e8a5918e439-medium_jpg.jpg,https://wellfound.com/company/mindera-software,Mindera Software,"We use technology to build products we are proud of, with people we love","Our customers are global brands that are enabling how the world does business. Our stable of clients includes world-recognized fashion brands, online gaming, identity verification, and so much more.",mindera.com,"Brazil,San Diego,San Francisco",501-1000 people,"Mobile,Healthcare,Retail,Identity Management,Online Gaming,Cyber Security,Global,Blockchain / Cryptocurrency,Mobile,Healthcare,Retail,Identity Management,Online Gaming,Cyber Security,Global,Blockchain / Cryptocurrency",09-08-2024,"Agile Delivery Lead    (Posted  2 years ago),QA Automation Engineer (Javascript) - Mid or Senior    (Posted  2 years ago),DevOps Engineer (Remote)    (Posted  2 years ago),Senior Product Owner (Remote)    (Posted  2 years ago),iOS Developer    (Posted  2 years ago),Backend Developer - Kotlin - Mid or Senior    (Posted  2 years ago),Fullstack Developer - Java + React    (Posted  2 years ago),Experienced Frontend Developer    (Posted  2 years ago),Backend Software Engineer - Java    (Posted  2 years ago),Technical Product Owner    (Posted  2 years ago),Senior UX/UI Designer (6 month contract, outside IR35)    (Posted  2 years ago),Business Analyst    (Posted  2 years ago),Mid Java Engineer - ID#WR1    (Posted  2 years ago),DevOps Engineer - #K4    (Posted  2 years ago),Technology Engagement Manager    (Posted  2 years ago),DevOps Engineer    (Posted  2 years ago),Quality Assurance Analyst    (Posted  2 years ago),Accountant    (Posted  2 years ago),Android Developer    (Posted  2 years ago),QA Analyst/ QA developer- ID#AX2    (Posted  2 years ago)",,"Haley Baldwin,Danni Barker,Ebony Sain",,,"Haley Baldwin,Danni Barker,Ebony Sain","""Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world."" Harriet Tubman  Mindera was born to be in peoples' hearts. We care, we listen, we make stuff happen. If you are used to another way of working, you are in for an interesting ride, take your time to let it all sink in.  We are humans. We act like humans, we talk like humans, and we think like humans. And we call out anyone who does the opposite.  We work together. We insist on working collaboratively. No rockstars. No departments. The whole team owns the whole project, together.  We change. Nothing is sacred. From our habits to our rituals to our environment. Change is a natural part of human life, and we prefer to embrace it.","Us employees - short term disability,Us employees - flexible spending account,Us employees - health savings account,Us employees - onemedical access,Us employees - health advocacy,Us employees - virtual health,Us employees  - 401k,Profit sharing and employee benefit trust,Us employees - flexible work options,Us employees - unlimited pto,Us employees - commuter benefits"
Senior Full-stack Python Developer,MUGCO,$75k , $85k ,2 years ago,"Remote,San Jose,Ukraine",Full Time,Available,https://wellfound.com/jobs/1746989-senior-full-stack-python-developer,1746989.0,09-08-2024,['python developer'],"Python,Javascript,TypeScript,React.js",,"We are currently looking for a Senior Full-stack Engineer (Python & JavaScript) for a rapid-growing project in the US and Israel  JOB POSITION: We are building an online platform (think part LinkedIn, part Crunchbase, but for the nonprofit sector) that connects people, organizations, and information in the nonprofit world. We are at the very beginning of our growth journey (pre-MVP) and looking for experienced developers that will help us shape and build the infrastructure and core of our platform and help build the foundations of our data architecture. Specifically, we are going to utilize enormous amounts of data, so we are looking for developers that are excited to face this challenge.  SKILLS & QUALIFICATIONS: • Strong written and verbal communication skills in English. • 6+ years of development experience. • Expert in Python, JavaScript (advantage for TypeScript) & React. • Experience with SQL and NoSQL DBs (strong preference for candidates with experience working with huge amounts of data). • Expert in Software Design and Architecture. • Excellent analytical skills. • Passion for building products from the ground up. • Keen attention to detail. • Familiarity/competence with the usual GSuite/Microsoft Office programs. • Familiarity with product management and UI/UX software (e.g. Figma, Zeplin) is a bonus, but not required. • Finally, this is an early-stage startup so flexibility and an ability to work with uncertainty and adapt quickly are important.  WE OFFER: • Long-term employment with 20 working days paid vacation and other social benefits. • Flexible schedule: the balanced life of our employees is very important for us. • Collaboration with a friendly and experienced team. • English courses, paid professional development courses. • Medical insurance. • Compensation of gym. • Possibility to relocate to the US  JOIN US!",Senior Full-stack Python Developer,,https://photos.wellfound.com/startups/i/8559528-37977b5c2036d07e7a11781d10eec7a3-medium_jpg.jpg,https://wellfound.com/company/mugco,MUGCO,Team Development Company,"MugCo is supporting tech companies with consulting services, progressive software development, and expand engineering capacity on-demand. We deliver solutions to many companies with our experts and assist technology innovators in building thriving software products in different domains.",mugco.io,Foster City,11-50 people,"Enterprise Software,Enterprise Software",09-08-2024,"Senior Front-end developer    (Posted  2 years ago),Senior Full-stack Python Developer    (Posted  2 years ago)",,Natalia Dmytryshyn,,,,,
Tech Lead/ Sr. Python Developer,Trendalytics,$140k , $160k,3 years ago,"Remote,New York City,United States",Full Time,Not Available,https://wellfound.com/jobs/1337277-tech-lead-sr-python-developer,1337277.0,09-08-2024,['python developer'],"Python,SQL",,"About the Company  Trendalytics is at the forefront of predictive retail analytics. Our web-based platform provides our clients with a 360° view on consumer and market demand, transforming billions of indicators across search, social media, and e-commerce into actionable insights. Trendalytics works with many of fashion’s biggest names and industry leaders including Macy's, Ulta Beauty, StitchFix, Free People, and Kohl’s; helping them drive more profitable decisions through data.    About the Role  Trendalytics is built from the ground up to seamlessly collect and merge Google search, social media, and e-commerce product data into a single ecosystem. We apply ML and statistical models on our data to extract predictive insights and market intelligence for our retail clients. As the Tech Lead/ Sr. Python Developer, you will have the opportunity to design and lead the implementation of our next-gen platform and build out the company’s engineering team. If having impact and working in a fast-paced agile environment excites you, we’d love to hear from you. We are open to candidates located across the United States (remote / work from home).  Responsibilities   Design and develop new framework and automation tools to enable teams to consume and understand data faster. Enhance, refine and implement existing applications and systems.  Formulate and refine analytics algorithms leveraging data from search, social and e-commerce in time series, text and image-based formats.  Responsible for development, testing, documentation and analysis of modules or features of distributed software systems and products.  Design, implement and manage data pipelines at enterprise scale with unit testing, data migration and production data maintenance.  Work closely with product and business teams to translate user feedback and company vision into technical roadmap.    Qualifications   5+ years of professional development experience in Python required. Comfortable with Django and/or Flask API.  3+ years professional software development experience with data warehousing, data architecture, ETL data pipeline and/or data engineering environments at enterprise scale.  SQL (PostgreSQL, etc) experience required, No-SQL (ElasticSearch, MongoDB) experience a plus.  Experience with major cloud service providers AWS, GCP, as well as Kubernetes is a plus.  Engineering leadership skills - you are able to run a small team, to take ownership, and to drive projects to success.  Strong communication skills including the ability to communicate technical details to non-technical audiences.  Applicants must be currently authorized to work in the United States for any employer.   Trendalytics is an equal opportunity and affirmative action employer. Individuals seeking employment at Trendalytics are considered without regards to race, sex, color, creed, religion, national origin, age, disability, genetics, marital status, pregnancy, unemployment status, sexual orientation, or veteran status.",Tech Lead/ Sr. Python Developer,Startup,https://photos.wellfound.com/startups/i/30510-ad3858570c44a9e8948c2c563cd52125-medium_jpg.jpg,https://wellfound.com/company/trendalytics,Trendalytics,"Buy Better, Faster","Trendalytics is a product intelligence platform that surfaces what consumers want today and tomorrow. Trendalytics draws actionable insights from the cross section of influencers, products and brands. Unlike other solutions, Trendalytics aggregates retail industry data and analyzes patterns across influencer social buzz, online searches and SKU data. Dynamic insights are gathered at the product category, classification and SKU level to support decisions on assortment planning, product pricing and tracking promotional activity and marketing based on consumer shopping patterns. Our clients include leading department stores, mass retailers, luxury brands, and rapidly growing e-commerce sites. ",trendalytics.co,New York City,11-50 people,"Machine Learning,Artificial Intelligence,Retail Technology,Big Data Analytics,Machine Learning,Artificial Intelligence,Retail Technology,Big Data Analytics",09-08-2024,Tech Lead/ Sr. Python Developer    (Posted  3 years ago),Jian (Kevin) He,"Jennifer Chang,Madeline Steiner,Sarah Barnes,Michael Savushkin,Cecile Lee,Sheng-Yan, Z,Springboard Enterprises,Liz Bacelar,Alexandra Wilkis Wilson,ShengXing Chi,Nicole Choi,Amanda Lewis,kathy leake,Serge Mosin,Janette Lu",,12 investors,"Otimo Retail,Lauren Flanagan,Matthew Stotland,Anna Garcia,steven alan,Montage Ventures,Grace Beauty Capital,William McClelland,Frank A. Fazzinga III",,
Senior Back-End Python Developer,Nammu21,$130k , $165k,1 month ago,"Remote,New York City,United States",Full Time,Not Available,https://wellfound.com/jobs/598774-senior-back-end-python-developer,598774.0,09-08-2024,['python developer'],"Python,Databases,DevOps,Data Warehouse,NLP",Eastern Time,"Role Description  You will be collaborating with our CEO, CTO, other developers and our analytics team to develop and implement the vision of the overall platform.  The role will primarily focus on extracting structured and unstructured data from complex finance documents using a proprietary extraction framework utilizing proprietary NLP techniques.  In addition, the role also includes the following responsibilities:  • Development of proprietary NLP algorithms utilizing, in part, spacy, nltk and others • Development of reusable code and libraries  • Development of additional tools and interfaces to create further efficiencies and precision in our data extraction methodology • Traditional backend work involving anything from REST APIs to database queries  Skills, Qualifications and Experience  The ideal candidate will have at least 4 years’ experience in a start-up environment or a financial institution with strong computer science fundamentals and a minimum of a Bachelor’s degree in a related field. In particular, the candidate will have:  • Strong Python experience • Experience with regular expression and various NLP libraries  • Experience with the one or more of the following python libraries; PDFLib, ply.lex and/or ply.yacc • Experience with parsing PDF/DocX document types  • Data Warehouse understanding • Experience with DevOps  • Experience with Databases  • Proficiency with code versioning tools, such as Git, Github, Bitbucket • Experience working with common project management tools and Agile development workflow • Ingenuity, creativity, drive and determination • Clear communication skills • Strong organizational skills, including the ability to respond quickly in a fast-paced environment • Preferrable but not required, experience with GraphQL  Due to the COVID-19 pandemic, all roles are currently remote.  We anticipate returning to an office space in NYC at a date TBD.    Potential for Equity allocation.  We Offer: Paid vacation + sick time Medical, dental, and vision insurance FSA + HSA options Additional perks such as commuter benefits and access to discount programs",Senior Back-End Python Developer,,https://photos.wellfound.com/startups/i/7093539-ec922d40ec6b6a966bc03a9fb3969a16-medium_jpg.jpg,https://wellfound.com/company/nammu21,Nammu21,Fintech,"A digitization and analytics platform deconstructing complex interconnected documents across the finance ecosystem delivering operational efficiencies, generating new value, and connecting the business of today to the digital world of tomorrow.The Nammu Platform transforms the transaction experience, the transaction process and unlocks and exposes previously hidden, inaccessible data.",www.nammu21.com/,New York City,11-50 people,"Legal Tech,Fin Tech,Legal Tech,Fin Tech",09-08-2024,"Senior Platform Engineer    (Posted  2 months ago),Senior Back-End Python Developer    (Posted  1 month ago)",Someera F Khokhar,"Matthew Petersen,Charles Nguyen,Delyn Ramey,richard bateman,Daniel Chen,Darcy Binder,Joyce Varughese,Recruiting Manager",$15.8M,2 rounds,,,"Healthcare benefits,Parental leave,Equity benefits,Commuter benefits,Professional development"
Sr. Python Developer,Zydelo,,,3 years ago,"Remote,United States",Full Time,Not Available,https://wellfound.com/jobs/1429519-sr-python-developer,1429519.0,09-08-2024,['python developer'],,Everywhere,"Zydelo Inc . specialize in mobile app development, e-commerce and web design resulting in outstanding online experiences that bring brands and customers together.So We are looking for a Backend Developer who has at least 3 years of experience in designing, developing and implementing backend services using Python and Django. Interested candidates do reach us at  [email protected]",Sr. Python Developer,,https://photos.wellfound.com/startups/i/8378352-f3d554fc6e76d3c259c4ae5cbbe332bc-medium_jpg.jpg,https://wellfound.com/company/zydelo-1,Zydelo,"We specialize in mobile app development, e-commerce and web design resulting",,zydelo.com/,United States,11-50 people,"Software,Software",09-08-2024,Sr. Python Developer    (Posted  3 years ago),Aastha Sharma,,,,,,
Senior Backend Developer,Mathpix,$180k , $210k ,3 months ago,"Remote,Brooklyn,United States",Full Time,Not Available,https://wellfound.com/jobs/3003340-senior-backend-developer,3003340.0,09-08-2024,['python developer'],"Python,Docker,Go (Golang),Kubernetes,NodeJS,Docker / Docker Compose / Kubernetes",,"Mathpix is building the most sophisticated software for extracting structured data from images and PDFs, bundled into a productivity tool for creating and managing research documents. We are profitable, funded, growing, and having lots of fun building things that have never been built before.   We are seeking a Senior Backend Developer who is passionate about distributed systems to build and improve our AI powered APIs. This person should have some experience working on distributed systems at scale. We will consider fully remote for this position but will give preference to candidates in the NYC area who can come to our office in Brooklyn.   Skills required:   Golang (intermediate or above)  Kubernetes (beginner or above)  Docker (beginner or above)   Additional skills desired:   Python  NodeJS   What We Offer:   An opportunity to join a company that is pushing the boundaries of what is possible in AI  Competitive salary and equity package  Comprehensive benefits including health, dental, and vision insurance  Flexible working hours and the opportunity to work remotely",Senior Backend Developer,,https://photos.wellfound.com/startups/i/5063303-394e8e0c12304f4687836ced7eef4c67-medium_jpg.jpg,https://wellfound.com/company/mathpix-1,Mathpix,Bridging the analog and digital world through OCR,"Mathpix is building the most sophisticated software for extracting structured data from images and PDFs, bundled into a productivity tool for creating and managing research documents. We are profitable, funded, growing, and having lots of fun building things that have never been built before.",mathpix.com/,"New York,Brooklyn",11-50 people,"SaaS,Computer Vision,SaaS,Computer Vision",09-08-2024,"Senior Python Developer, AI startup    (Posted  1 month ago),Senior Backend Developer    (Posted  3 months ago)","Kaitlin Cunningham,Nicolas Jimenez",,,,,,
"Senior Python Developer, AI startup",Mathpix,$160k , $240k ,1 month ago,Brooklyn,Full Time,Not Available,https://wellfound.com/jobs/3037523-senior-python-developer-ai-startup,3037523.0,09-08-2024,['python developer'],"Python,Algorithms & Data Structures",,"Location: Williamsburg, Brooklyn, NY  About Us:  We are looking for an experienced Senior Python Developer in NYC to join our AI team.   Key Responsibilities:   Develop and optimize algorithms.  Work with SQL databases.  Implement object-oriented programming in Python.  Utilize parallel processing techniques.   Qualifications:   Strong skills in algorithms.  Experience with SQL databases.  Proficient in Python and object-oriented programming.  Knowledge of parallel processing in Python.   Nice to Have:   Experience with PyTorch.  Familiarity with Docker.  Knowledge of JavaScript or TypeScript.   How to Apply: Submit your resume to  [email protected]  or apply through LinkedIn.","Senior Python Developer, AI startup",,https://photos.wellfound.com/startups/i/5063303-394e8e0c12304f4687836ced7eef4c67-medium_jpg.jpg,https://wellfound.com/company/mathpix-1,Mathpix,Bridging the analog and digital world through OCR,"Mathpix is building the most sophisticated software for extracting structured data from images and PDFs, bundled into a productivity tool for creating and managing research documents. We are profitable, funded, growing, and having lots of fun building things that have never been built before.",mathpix.com/,"New York,Brooklyn",11-50 people,"SaaS,Computer Vision,SaaS,Computer Vision",09-08-2024,"Senior Python Developer, AI startup    (Posted  1 month ago),Senior Backend Developer    (Posted  3 months ago)","Kaitlin Cunningham,Nicolas Jimenez",,,,,,
